type,ref,date,title,summary,lead_member,lead_members_party,department,MNIS_id,gender,constituency
Adjournment debates,673 cc1247-1252,2020-03-19,Gambling Advertising in Sport,Agreed to on question.,"Harris, Carolyn",Labour Party,"Department for Digital, Culture, Media and Sport",4480,F,Swansea East
Adjournment debates,673 cc507-967,2020-03-18,Future of Farming: Somerset,Motion lapsed. Motion made and Question put that this House do now adjourn. Agreed to on question.,"Liddell-Grainger, Ian",Conservative Party,"Department for Environment, Food and Rural Affairs",1396,M,Bridgwater and West Somerset
Adjournment debates,673 cc971-982,2020-03-17,St Patrick’s Day,House adjourned without Question put.,"Shannon, Jim",Democratic Unionist Party,Northern Ireland Office,4131,M,Strangford
Adjournment debates,673 cc769-778,2020-03-16,Cavity Wall Insulation: Complaints,House adjourned without Question put.,"Elmore, Chris",Labour Party,"Department for Business, Energy and Industrial Strategy",4572,M,Ogmore
Adjournment debates,673 cc626-633,2020-03-13,Roadworks: Rayleigh,Agreed to on question.,"Francois, Mark",Conservative Party,Department for Transport,1444,M,Rayleigh and Wickford
Adjournment debates,673 cc538-548,2020-03-12,Community Housing,House adjourned without Question put.,"Bacon, Richard",Conservative Party,"Ministry of Housing, Communities and Local Government",1451,M,South Norfolk
Adjournment debates,673 cc400-8,2020-03-11,Electric Car Batteries: Disposal and Recycling,Agreed to on question.,"Onwurah, Chi",Labour Party,"Department for Environment, Food and Rural Affairs",4124,F,Newcastle upon Tyne Central
Adjournment debates,673 cc143-256,2020-03-10,East Putney Station: Step-free Access,Agreed to on question.,"Anderson, Fleur",Labour Party,Department for Transport,4788,F,Putney
Adjournment debates,672 cc608-134,2020-03-09,Flood Prevention: Rainwater Attenuation and Reservoirs,Motion lapsed. Motion made and Question proposed that this House do now adjourn. Agreed to on question.,"Western, Matt",Labour Party,"Department for Environment, Food and Rural Affairs",4617,M,Warwick and Leamington
Adjournment debates,672 cc1070-1082,2020-03-05,WHO Framework Convention on Tobacco Control,Agreed to on question.,"Blackman, Bob",Conservative Party,Department of Health and Social Care,4005,M,Harrow East
Adjournment debates,672 cc948-960,2020-03-04,Children in the Care System: Sibling Contact,Agreed to on question.,"Lewell-Buck, Emma",Labour Party,Department for Education,4277,F,South Shields
Adjournment debates,672 cc807-816,2020-03-03,Climate Protests in Cambridge: Police Response,Agreed to on question.,"Browne, Anthony",Conservative Party,Home Office,4801,M,South Cambridgeshire
Adjournment debates,672 cc727-730,2020-03-02,Elgin Marbles,Agreed to on question.,"Ferrier, Margaret",Scottish National Party,"Department for Digital, Culture, Media and Sport",4386,F,Rutherglen and Hamilton West
Adjournment debates,672 cc581-8,2020-02-27,Crime (West Sandwell),Agreed to on question.,"Bailey, Shaun",Conservative Party,Home Office,4757,M,West Bromwich West
Adjournment debates,672 c445,2020-02-26,Secondary Education: Ellesmere Port,Agreed to on question.,"Madders, Justin",Labour Party,Department for Education,4418,M,Ellesmere Port and Neston
Adjournment debates,672 cc337-297,2020-02-25,East Leake Health Centre,Agreed to on question.,"Edwards, Ruth",Conservative Party,Department of Health and Social Care,4808,F,Rushcliffe
Adjournment debates,672 cc149-158,2020-02-24,Social Security Benefits: Claimant Deaths,Agreed to on question.,"Abrahams, Debbie",Labour Party,Department for Work and Pensions,4212,F,Oldham East and Saddleworth
Adjournment debates,671 cc1058-1068,2020-02-13,Coventry IKEA Store Closure,Agreed to on question.,"Sultana, Zarah",Labour Party,"Department for Business, Energy and Industrial Strategy",4786,F,Coventry South
Adjournment debates,671 cc940-8,2020-02-12,Marine Licensing,Agreed to on question.,"Double, Steve",Conservative Party,"Department for Environment, Food and Rural Affairs",4452,M,St Austell and Newquay
Adjournment debates,671 cc980-834,2020-02-11,Media Diversity,Agreed to on question.,"De Cordova, Marsha",Labour Party,"Department for Digital, Culture, Media and Sport",4676,F,Battersea
Adjournment debates,671 c687,2020-02-10,GP Provision: Pilsley,NA,"Fletcher, Mark",Conservative Party,Department of Health and Social Care,4774,M,Bolsover
Adjournment debates,671 cc550-560,2020-02-06,Children’s Mental Health Week,Agreed to on question.,"Gill, Preet Kaur",Labour Party; Cooperative Party,Department of Health and Social Care,4603,F,"Birmingham, Edgbaston"
Adjournment debates,671 cc422-433,2020-02-05,Nuclear Energy Policy: Climate Change,Agreed to on question.,"Crosbie, Virginia",Conservative Party,"Department for Business, Energy and Industrial Strategy",4859,F,Ynys Môn
Adjournment debates,671 cc566-294,2020-02-04,Rail Services: North-East England,Agreed to on question.,"Jones, Kevan",Labour Party,Department for Transport,1438,M,North Durham
Adjournment debates,671 cc1259-152,2020-02-03,Netflix: Tax Affairs,Agreed to on question.,"Hodge, Margaret",Labour Party,Treasury,140,F,Barking
Adjournment debates,670 cc1037-953,2020-01-30,War Widows’ Pension Scheme,Agreed to on question.,"Lewis, Julian",Conservative Party,Ministry of Defence,54,M,New Forest East
Adjournment debates,670 cc896-904,2020-01-29,Wards Corner Redevelopment,Agreed to on question.,"Lammy, David",Labour Party,"Ministry of Housing, Communities and Local Government",206,M,Tottenham
Adjournment debates,670 cc505-758,2020-01-28,Mental Health Act: Section 136,Agreed to on question,"Beresford, Paul",Conservative Party,Home Office,103,M,Mole Valley
Adjournment debates,670 cc643-650,2020-01-27,Claim of Right for Scotland,Agreed to on question.,"Gibson, Patricia",Scottish National Party,Scotland Office,4435,F,North Ayrshire and Arran
Adjournment debates,670 cc503-510,2020-01-23,UK-US Extradition Agreement,Agreed to on question.,"Davis, David",Conservative Party,Home Office,373,M,Haltemprice and Howden
Adjournment debates,670 cc381-392,2020-01-22,School Meals: Hull,Agreed to on question.,"Johnson, Diana",Labour Party,Department for Education,1533,F,Kingston upon Hull North
Adjournment debates,670 cc275-758,2020-01-21,Stepping Hill Hospital,Agreed to on question.,"Wragg, William",Conservative Party,Department of Health and Social Care,4429,M,Hazel Grove
Adjournment debates,670 cc141-9,2020-01-20,Lowestoft Tidal Flood Barrier,Agreed to on question.,"Aldous, Peter",Conservative Party,"Department for Environment, Food and Rural Affairs",4069,M,Waveney
Adjournment debates,669 cc878-903,2020-01-16,Protection for New Home Buyers,Agreed to on question.,"Green, Kate",Labour Party,"Ministry of Housing, Communities and Local Government",4120,F,Stretford and Urmston
Adjournment debates,669 cc567-1128,2020-01-15,Ockenden Review of Maternity Care: Shrewsbury and Telford,Agreed to on question.,"Allan, Lucy",Conservative Party,Department of Health and Social Care,4411,F,Telford
Adjournment debates,669 cc994-1004,2020-01-14,HMRC Tax Office: Cumbernauld,Agreed to on question.,"McDonald, Stuart C",Scottish National Party,Treasury,4393,M,"Cumbernauld, Kilsyth and Kirkintilloch East"
Adjournment debates,669 cc855-864,2020-01-13,Official Development Assistance Target,Agreed to on question.,"Grady, Patrick",Scottish National Party,Department for International Development,4432,M,Glasgow North
Adjournment debates,669 cc721-730,2020-01-09,Hospital Improvement Plans: VAT Rules,Agreed to on question.,"Smyth, Karin",Labour Party,Department of Health and Social Care,4444,F,Bristol South
Adjournment debates,669 cc575-584,2020-01-08,SPAC Nation,Agreed to on question.,"Reed, Steve",Labour Party; Cooperative Party,"Department for Digital, Culture, Media and Sport",4268,M,Croydon North
Adjournment debates,669 cc353-366,2020-01-07,UK Special Forces: Iraq and Afghanistan,Motion lapsed. Motion made and question proposed that this House do now adjourn. Agreed to on question.,"McDonald, Stewart Malcolm",Scottish National Party,Ministry of Defence,4461,M,Glasgow South
Adjournment debates,669 cc227-233,2019-12-20,Southend: City Status,Agreed to on question.,"Amess, David",Conservative Party,Cabinet Office,44,M,Southend West
Adjournment debates,669 cc133-144,2019-12-19,Electoral Practices,Agreed to on question.,"Baker, Steve",Conservative Party,Cabinet Office,4064,M,Wycombe
Urgent questions,693 cc376-388,2021-04-28,Government Support for India,Urgent question on the support the Government are providing to the Indian Government.,"Nandy, Lisa",Labour Party,"Foreign, Commonwealth and Development Office",4082,F,Wigan
Urgent questions,693 cc237-247,2021-04-27,Nazanin Zaghari-Ratcliffe,Urgent question on Nazanin Zaghari-Ratcliffe.,"Siddiq, Tulip",Labour Party,"Foreign, Commonwealth and Development Office",4518,F,Hampstead and Kilburn
Backbench debates,693 cc27-57WH,2021-04-27,Support for Asylum Seekers,Motion that this House has considered the effectiveness of asylum accommodation and the dispersal scheme in providing support for asylum seekers. Agreed to on question.,"Coyle, Neil",Labour Party,Home Office,4368,M,Bermondsey and Old Southwark
Urgent questions,693 cc39-57,2021-04-26,ODA Budget,Urgent question on reductions in the overseas development assistance budget.,"Mitchell, Andrew",Conservative Party,"Foreign, Commonwealth and Development Office",1211,M,Sutton Coldfield
Urgent questions,693 cc23-39,2021-04-26,Ministerial Code,Urgent question on the ministerial code.,"Thewliss, Alison",Scottish National Party,Cabinet Office,4430,F,Glasgow Central
Backbench debates,692 cc353-378WH,2021-04-22,Covid-19: Social Care,Motion that this House has considered social care and the covid-19 outbreak. Agreed to on question. Sitting adjourned without Question put.,"Hayes, Helen",Labour Party,Department of Health and Social Care,4510,F,Dulwich and West Norwood
Backbench debates,692 cc378-353WH,2021-04-22,Religious Minorities: Land Rights,Motion that this House has considered land rights for religious minorities including Baha’is in Iran. Agreed to on question.,"Shannon, Jim",Democratic Unionist Party,"Foreign, Commonwealth and Development Office",4131,M,Strangford
Backbench debates; Select Committee statements,692 cc1175-1183,2021-04-22,Armed Forces Bill: Special Report,"Statement on the publication of the special report of the Armed Forces Bill Select Committee, (HC 1281).","Sunderland, James",Conservative Party,Select Committee on the Armed Forces Bill,4767,M,Bracknell
Backbench debates,692 cc1210-1246,2021-04-22,Human Rights: Xinjiang,Motion that this House believes that Uyghurs and other ethnic and religious minorities in the Xinjiang Uyghur Autonomous Region are suffering Crimes Against Humanity and Genocide; and calls on the Government to act to fulfil its obligations under the Convention on the Prevention and Punishment of Genocide and all relevant instruments of international law to bring it to an end.  Agreed to on question.,"Ghani, Nusrat",Conservative Party,"Foreign, Commonwealth and Development Office",4460,F,Wealden
Backbench debates,692 cc1184-1210,2021-04-22,Covid-19: Government Transparency and Accountability,"Motion that this House has considered the Eighth Report of the Public Administration and Constitutional Affairs Committee, Government transparency and accountability during Covid-19: The data underpinning decisions, HC 803. Agreed to on question. Sitting suspended.","Wragg, William",Conservative Party,Treasury,4429,M,Hazel Grove
Backbench debates,692 cc239-258WH,2021-04-20,Arms Trade: Yemen,"Motion, That this House has considered the arms trade and Yemen. Agreed to on question. Sitting adjourned without Question put.","Johnson, Kim",Labour Party,Department for International Trade,4824,F,"Liverpool, Riverside"
Backbench debates,692 cc231-9WH,2021-04-20,Turing Scheme,"Motion, That this House has considered the scope of the proposed Turing scheme. Agreed to on question.","Antoniazzi, Tonia",Labour Party,Department for Education,4623,F,Gower
Backbench debates,692 cc206-231WH,2021-04-20,Elective Surgical Operations: Waiting Lists,"Motion, That this House has considered waiting lists for elective surgical operations. Motion lapsed.","Dowd, Peter",Labour Party,Department of Health and Social Care,4397,M,Bootle
Urgent questions,692 cc850-866,2021-04-20,Afghanistan,Urgent question on Afghanistan.,"Ellwood, Tobias",Conservative Party,Ministry of Defence,1487,M,Bournemouth East
Backbench debates,692 cc199-206WH,2021-04-20,Office for Investment,"Motion, That this House has considered the role of the Office for Investment. Agreed to on question.","Marson, Julie",Conservative Party,Department for International Trade,4768,F,Hertford and Stortford
Backbench debates,692 cc175-199WH,2021-04-20,Elected Women Representatives: Online Abuse,"Motion, That this House has considered online abuse of elected women representatives. Agreed to on question.","Miller, Maria",Conservative Party,"Department for Digital, Culture, Media and Sport",1480,F,Basingstoke
Backbench debates; e-petition debates,692 cc148-174WH,2021-04-19,Black Maternal Healthcare and Mortality,"Motion, That this House has considered e-petition 301079, relating to Black maternal healthcare and mortality. Agreed to on question. Sitting adjourned without Question put.","McKinnell, Catherine",Labour Party,Department of Health and Social Care,4125,F,Newcastle upon Tyne North
Backbench debates; e-petition debates,692 cc125-148WH,2021-04-19,Trespass,"Motion, That this House has considered e-petition 300139, relating to trespass. Agreed to on question.","Fletcher, Katherine",Conservative Party,Home Office,4834,F,South Ribble
Backbench debates; Westminster Hall debates on select committee reports,692 cc100-123WH,2021-04-15,Adult Skills and Lifelong Learning,"Motion that this House has considered the third report of the Education Committee, A plan for an adult skills and lifelong learning revolution, HC 278. Agreed to on question. Sitting adjourned without Question put.","Halfon, Robert",Conservative Party,Education Committee; Department for Education,3985,M,Harlow
Backbench debates; Westminster Hall debates on select committee reports,692 cc123-100WH,2021-04-15,"Covronavirus, Disability and Access to Services","Motion that this House has considered the fourth report of the Women and Equalities Committee, Unequal impact? Coronavirus, disability and access to services: full report, HC 1050. Agreed to on question.","Nokes, Caroline",Conservative Party,Department for Work and Pensions; Women and Equalities Committee,4048,F,Romsey and Southampton North
Urgent questions,692 cc481-493,2021-04-15,University Students: Compensation for Lost Teaching and Rent,Urgent question on the return date given to university students and his Department’s plans to provide financial compensation to university students for lost teaching and rent during the coronavirus pandemic.,"Cooper, Daisy",Liberal Democrats,Department for Education,4769,F,St Albans
Urgent questions,692 cc155-167,2021-04-13,Chinese Government Sanctions on UK Citizens,Urgent question on recent sanctions imposed by the Chinese Government on UK citizens. Sitting suspended.,"Loughton, Tim",Conservative Party,"Foreign, Commonwealth and Development Office",114,M,East Worthing and Shoreham
Urgent questions,692 cc143-155,2021-04-13,Greensill Capital,Urgent question on the process by which Greensill Capital was approved as a lender for the coronavirus large business interruption loan scheme. Sitting suspended.,"Dodds, Anneliese",Labour Party; Cooperative Party,"Department for Business, Energy and Industrial Strategy",4657,F,Oxford East
Backbench debates,692 cc1-23WH,2021-04-13,Global Human Security,Motion that this House has considered global human security. Agreed to on question.,"Hobhouse, Wera",Liberal Democrats,"Foreign, Commonwealth and Development Office",4602,F,Bath
Urgent questions,691 cc1071-1087,2021-03-25,Abortion in Northern Ireland,Urgent question on the provision of abortion in Northern Ireland.,"Lockhart, Carla",Democratic Unionist Party,Northern Ireland Office,4857,F,Upper Bann
Urgent questions,691 cc1057-1071,2021-03-25,UK Steel Production: Greensill Capital,Urgent question on the future of UK steel production following Greensill Capital’s recent insolvency.,"Powell, Lucy",Labour Party; Cooperative Party,"Department for Business, Energy and Industrial Strategy",4263,F,Manchester Central
Backbench debates,691 cc472-492WH,2021-03-25,Government Support for NGOs and Churches in Developing Nations: Covid-19,"Motion, That this House has considered Government support for non-governmental organisations and churches in developing nations during the covid-19 pandemic. Agreed to on question. Sitting adjourned without Question put.","Shannon, Jim",Democratic Unionist Party,"Foreign, Commonwealth and Development Office",4131,M,Strangford
Backbench debates,691 cc490-472WH,2021-03-25,Immigration and Nationality Application Fees,"Motion, That this House has considered immigration and nationality application fees. Motion lapsed.","Hillier, Meg",Labour Party; Cooperative Party,Home Office,1524,F,Hackney South and Shoreditch
Backbench debates,691 cc987-1024,2021-03-24,Covid-19: Hospitality Industry,Motion that this House has considered support for the hospitality industry throughout the covid-19 pandemic. Agreed to on question.,"Saxby, Selaine",Conservative Party,"Department for Business, Energy and Industrial Strategy",4863,F,North Devon
Backbench debates,691 cc955-987,2021-03-24,Online Anonymity and Anonymous Abuse,Motion that House has considered online anonymity and anonymous abuse. Agreed to on question. Sitting suspended.,"Baillie, Siobhan",Conservative Party,"Department for Digital, Culture, Media and Sport",4847,F,Stroud
Backbench debates,691 cc293-312WH,2021-03-23,Live Events: Government-backed Insurance,Motion that this House has considered Government-backed insurance for live events. Agreed to on question.,"Stone, Jamie",Liberal Democrats,"Department for Digital, Culture, Media and Sport",4612,M,"Caithness, Sutherland and Easter Ross"
Backbench debates,691 cc572-591,2021-03-18,World Water Day,Motion that this House has considered World Water Day 2021. Agreed to on question.,"Mishra, Navendu",Labour Party,"Foreign, Commonwealth and Development Office",4811,M,Stockport
Backbench debates,691 cc232-248WH,2021-03-18,World Social Work Day,"Motion, That this House has considered World Social Work Day 2021. Agreed to on question.","Simmonds, David",Conservative Party,Department of Health and Social Care,4872,M,"Ruislip, Northwood and Pinner"
Backbench debates,691 cc542-572,2021-03-18,Sri Lanka,"Motion that this House notes with concern the reports of a systematic attack in Sri Lanka on democratic governance, the rule of law and human rights including renewed discrimination against the Tamil and Muslim communities; is profoundly concerned that the Sri Lankan Government has refused to investigate accusations of war crimes including by key members of the current government and has withdrawn from the UN Human Rights Council Resolution 30/1; welcomes the significant leadership role played by successive UK Governments at the Human Rights Council and urges the Government to provide clear policy direction and leadership to ensure a new substantive resolution is passed at the upcoming Council session in March 2021 that will enable continued monitoring by the Office of the High Commissioner for Human Rights and mandate a mechanism to gather, preserve and analyse evidence of violations for future investigations and prosecutions; and calls upon the Government to develop a consistent and coherent policy to assist the Sri Lankan people through its trade, investment and aid programmes, and in its diplomatic and military relations. Agreed to on question. Sitting suspended.","McDonagh, Siobhain",Labour Party,"Foreign, Commonwealth and Development Office",193,F,Mitcham and Morden
Backbench debates,691 cc248-232WH,2021-03-18,Social Care Reform,"Motion, That this House has considered social reform and the social care workforce. Agreed to on question.","Keeley, Barbara",Labour Party,Department of Health and Social Care,1588,F,Worsley and Eccles South
Backbench debates; Select Committee statements,691 cc533-9,2021-03-18,Data Transparency and Accountability: Covid-19,"Statement on the publication of the eighth report of the Public Administration and Constitutional Affairs Committee, Data transparency and accountability: COVID-19 (HC 803).","Wragg, William",Conservative Party,Public Administration and Constitutional Affairs Committee,4429,M,Hazel Grove
Backbench debates,691 cc192-206WH,2021-03-17,Offshore Wind Farms: Unexploded Ordnance,"Motion, That this House has considered the disposal of unexploded ordnance for offshore windfarm construction. Agreed to on question. Sitting adjourned without Question put.","Nicolson, John",Scottish National Party,"Department for Environment, Food and Rural Affairs",4415,M,Ochil and South Perthshire
Backbench debates,691 cc185-192WH,2021-03-17,UN Human Rights Council: UK Voting Record on Israel,"Motion, That this House has considered the UK voting record at the UN Human Rights Council on Israel. Agreed to on question.","Benton, Scott",Conservative Party,"Foreign, Commonwealth and Development Office",4793,M,Blackpool South
Backbench debates,691 cc161-185WH,2021-03-17,Research and Development Funding,Motion that this House has considered the future of research and development funding. Agreed to on question.,"Zeichner, Daniel",Labour Party,"Department for Business, Energy and Industrial Strategy",4382,M,Cambridge
Backbench debates,691 cc155-161WH,2021-03-17,Marine Protected Areas,"Motion, That this House has considered the extension of marine protected areas. Agreed to on question.","Lloyd, Tony",Labour Party,"Department for Environment, Food and Rural Affairs",450,M,Rochdale
Backbench debates,691 cc135-155WH,2021-03-17,Passenger Boats and the Maritime and Coastguard Agency,"Motion, That this House has considered the future of passenger boats and the Maritime and Coastguard Agency. Agreed to on question.","Rosindell, Andrew",Conservative Party,Department for Transport,1447,M,Romford
Backbench debates,691 cc51-77WH,2021-03-16,Commonwealth Day 2021,Motion that this House has considered Commonwealth Day 2021. Agreed to on question.,"Liddell-Grainger, Ian",Conservative Party,"Foreign, Commonwealth and Development Office",1396,M,Bridgwater and West Somerset
Backbench debates,690 cc227-246WH,2021-03-11,Patients with Heart Failure,"Motion, That this House has considered quality of life for patients with heart failure. Agreed to on question. Sitting suspended without Question put.","Shannon, Jim",Democratic Unionist Party,Department of Health and Social Care,4131,M,Strangford
Backbench debates,690 c227WH,2021-03-11,Covid-19: Community Pharmacies,"Motion, That this House has considered community pharmacies and the effect of the covid-19 outbreak. Agreed to on question.","Doyle-Price, Jackie",Conservative Party,Department of Health and Social Care,4065,F,Thurrock
Backbench debates,690 cc1055-1112,2021-03-11,International Women’s Day,Motion that this House has considered International Women's Day. Agreed to on question.,"Miller, Maria",Conservative Party,Government Equalities Office,1480,F,Basingstoke
Urgent questions,690 cc881-1305,2021-03-10,Hong Kong: Electoral Reforms,Urgent question on the planned reforms to Hong Kong’s electoral system by the Chinese National People’s Congress.,"Moran, Layla",Liberal Democrats,"Foreign, Commonwealth and Development Office",4656,F,Oxford West and Abingdon
Urgent questions,690 cc865-881,2021-03-10,Northern Ireland Protocol,Urgent question on on the Government’s unilateral action on the Northern Ireland protocol.,"Haigh, Louise",Labour Party,Northern Ireland Office,4473,F,"Sheffield, Heeley"
Urgent questions,690 cc653-670,2021-03-09,Covid-19: Government’s Publication of Contracts,Urgent question on the recent court order regarding the Government’s publication of contracts during the covid-19 pandemic.,"Reeves, Rachel",Labour Party,Department of Health and Social Care,4031,F,Leeds West
Urgent questions,690 cc523-535,2021-03-08,NHS Staff Pay,Urgent question on the Department of Health and Social Care's recommendations on NHS staff pay. Sitting suspended.,"Ashworth, Jonathan",Labour Party; Cooperative Party,Department of Health and Social Care,4244,M,Leicester South
Urgent questions,690 cc117-127,2021-03-02,Yemen: Aid Funding,Urgent question on the level of aid funding to Yemen.,"Mitchell, Andrew",Conservative Party,"Foreign, Commonwealth and Development Office",1211,M,Sutton Coldfield
Urgent questions,690 cc37-51,2021-03-01,Covid-19: Ethnic Minority Disparities,Urgent question on the second quarterly report to the Prime Minister and Health Secretary on progress to understand and tackle covid-19 disparities experienced by individuals from an ethnic minority background.,"De Cordova, Marsha",Labour Party,Government Equalities Office,4676,F,Battersea
Urgent questions,690 cc23-37,2021-03-01,Vauxhall at Ellesmere Port and Battery Manufacturing Strategy,Urgent question on the future of car manufacturing by Vauxhall at Ellesmere Port and the Government’s strategy for battery manufacturing.,"Clark, Greg",Conservative Party,"Department for Business, Energy and Industrial Strategy",1578,M,Tunbridge Wells
Backbench debates,689 cc1177-1203,2021-02-25,Welsh Affairs,Motion that this House has considered Welsh affairs. Agreed to on question.,"Brennan, Kevin",Labour Party,Wales Office,1400,M,Cardiff West
Backbench debates,689 cc1148-1177,2021-02-25,Education Route Map: Covid-19,Motion that this House has considered the proposal for a national education route map for schools and colleges in response to the covid-19 outbreak. Agreed to on question.,"Halfon, Robert",Conservative Party,Department for Education,3985,M,Harlow
Backbench debates; Select Committee statements,689 cc1139-1145,2021-02-25,Growing Back Better Report,"Statement on the publication of the third report of the Environmental Audit Committee, Growing Back Better: putting nature and net zero at the heart of the  economic recovery, (HC 347).","Dunne, Philip",Conservative Party,Environmental Audit Committee,1542,M,Ludlow
Urgent questions,689 cc914-932,2021-02-24,Covid Contracts: Judicial Review,"Urgent question on the recent judicial review ruling, which found the Government had acted unlawfully in respect of covid contracts. Sitting suspended.","Reeves, Rachel",Labour Party,Department of Health and Social Care,4031,F,Leeds West
Urgent questions,689 cc932-941,2021-02-24,Uber: Supreme Court Ruling,Urgent question on the Supreme Court's ruling on Uber. Sitting suspended.,"McDonald, Andy",Labour Party,"Department for Business, Energy and Industrial Strategy",4269,M,Middlesbrough
Backbench debates,689 cc249-281,2021-02-09,"Integrated Review of Security, Defence, Development and Foreign Policy","Motion that this House has considered the publication of the Integrated Review of Security, Defence, Development and Foreign Policy. Agreed to on question.","Ellwood, Tobias",Conservative Party,"Foreign, Commonwealth and Development Office",1487,M,Bournemouth East
Urgent questions,689 cc37-49,2021-02-08,UK Shellfish Exports,Urgent question on UK Shellfish Exports.,"Peacock, Stephanie",Labour Party,"Department for Environment, Food and Rural Affairs",4607,F,Barnsley East
Urgent questions,689 cc25-37,2021-02-08,Yemen,Urgent question on Yemen.,"Ellwood, Tobias",Conservative Party,"Foreign, Commonwealth and Development Office",1487,M,Bournemouth East
Backbench debates,688 cc1177-1208,2021-02-04,Towns Fund,"Motion, That this House has considered the Towns Fund. Agreed to on question.","Bristow, Paul",Conservative Party,"Ministry of Housing, Communities and Local Government",4792,M,Peterborough
Backbench debates,688 cc1154-1177,2021-02-04,UK Space Industry,"Motion, That this House has considered the future of the UK space industry. Agreed to on question.","Thompson, Owen",Scottish National Party,"Department for Business, Energy and Industrial Strategy",4482,M,Midlothian
Urgent questions,688 cc1102-1114,2021-02-04,Treatment of Uyghur Women: Xinjiang Detention Camps,Urgent question on the treatment of Uyghur women in Xinjiang detention camps.,"Ghani, Nusrat",Conservative Party,"Foreign, Commonwealth and Development Office",4460,F,Wealden
Urgent questions,688 cc955-969,2021-02-03,Support for University Students: Covid-19,Urgent question on support for university students as a result of the pandemic.,"Blomfield, Paul",Labour Party,Department for Education,4058,M,Sheffield Central
Urgent questions,688 cc833-845,2021-02-02,Northern Ireland Protocol: Implementation,Urgent question on the implementation of the Northern Ireland protocol. Sitting suspended.,"Haigh, Louise",Labour Party,Cabinet Office,4473,F,"Sheffield, Heeley"
Backbench debates,688 cc572-635,2021-01-28,Holocaust Memorial Day 2021,Motion that this House has considered Holocaust Memorial Day 2021. Agreed to on question.,"Crabb, Stephen",Conservative Party,"Ministry of Housing, Communities and Local Government",1554,M,Preseli Pembrokeshire
Backbench debates,688 cc635-656,2021-01-28,UN International Day of Education,Motion that this House has considered the UN International Day of Education. Agreed to on question.,"Baldwin, Harriett",Conservative Party,"Foreign, Commonwealth and Development Office",4107,F,West Worcestershire
Urgent questions,688 cc374-385,2021-01-27,Russian Federation: Human Rights,"Urgent question on what further sanctions the Secretary of State will impose upon the Russian Federation following the arrest, over the weekend, of Alexei Navalny, his wife and hundreds of his supporters.","Gale, Roger",Conservative Party,"Foreign, Commonwealth and Development Office",87,M,North Thanet
Urgent questions,688 cc189-206,2021-01-26,Educational Settings: Reopening,Urgent question on the Government’s plan for the reopening of educational settings.,"Green, Kate",Labour Party,Department for Education,4120,F,Stretford and Urmston
Urgent questions,688 cc173-189,2021-01-26,UK Border: Covid Protections,Urgent question on Covid protections at the UK border.,"Thomas-Symonds, Nick",Labour Party,Home Office,4479,M,Torfaen
Urgent questions,687 cc1111-1135,2021-01-21,Vaccine Roll-out,Urgent question on the covid-19 vaccine roll-out.,"Merriman, Huw",Conservative Party,Department of Health and Social Care,4442,M,Bexhill and Battle
Backbench debates,687 cc1197-1217,2021-01-21,Covid-19: Child Maintenance Service,Motion that this House has considered the operation of the Child Maintenance Service during the covid-19 outbreak. Agreed to on question.,"Fellows, Marion",Scottish National Party,Department for Work and Pensions,4440,F,Motherwell and Wishaw
Backbench debates,687 cc1167-1197,2021-01-21,Equitable Life,Motion on injustice suffered by Equitable Life policy holders. Agreed to on question. Sitting suspended.,"Blackman, Bob",Conservative Party,Treasury,4005,M,Harrow East
Urgent questions,687 cc965-983,2021-01-20,Serious Criminal Cases Backlog,Urgent question on the backlog of serious criminal cases in the justice system.,"Lammy, David",Labour Party,Home Office,206,M,Tottenham
Urgent questions,687 cc773-789,2021-01-19,UK Musicians: EU Visa Arrangements,Urgent question on visa arrangements for UK musicians in the EU.,"Wishart, Pete",Scottish National Party,"Department for Digital, Culture, Media and Sport",1440,M,Perth and North Perthshire
Urgent questions,687 cc487-503,2021-01-14,EU Trade and Co-operation Agreement: Fishing Industry,Urgent question on the consequences of the EU trade and co-operation agreement as it applies to the fishing industry.,"Carmichael, Alistair",Liberal Democrats,"Department for Environment, Food and Rural Affairs",1442,M,Orkney and Shetland
Backbench debates,687 cc571-593,2021-01-14,Covid-19: Dental Services,Motion that this House has considered the effect of the covid-19 outbreak on dental services. Agreed to on question.,"Anderson, Fleur",Labour Party,Department of Health and Social Care,4788,F,Putney
Backbench debates,687 cc549-571,2021-01-14,Long Covid,Motion that this House has considered long covid. Agreed to on question.,"Moran, Layla",Liberal Democrats,Department of Health and Social Care,4656,F,Oxford West and Abingdon
Backbench debates; Select Committee statements,687 cc541-8,2021-01-14,Sexual Exploitation and Abuse of Aid Beneficiaries,"Statement on the publication of the seventh report of the International Development Committee, Progress on tackling the sexual exploitation and abuse of aid beneficiaries (HC 605).","Champion, Sarah",Labour Party,International Development Committee,4267,F,Rotherham
Urgent questions,687 cc311-325,2021-01-13,Elections: May 2021,Urgent question on the May 2021 elections.,"Smith, Cat",Labour Party,Cabinet Office,4436,F,Lancaster and Fleetwood
Urgent questions,687 cc297-311,2021-01-13,Northern Ireland Protocol: Disruption to Trade,Urgent question on the disruption to trade between Great Britain and Northern Ireland as a result of the Northern Ireland protocol.,"Donaldson, Jeffrey M",Democratic Unionist Party,Cabinet Office,650,M,Lagan Valley
